,split,uid,uid_sanitized,status,error_message,mask_path,csv_rows_count,local_search_radius,unique_mask_ids_count,mapped_ids_count,missing_ids_count,out_of_bounds_count,background_hit_count,native_hit_count,flipped_xy_hit_count,local_search_hit_count,matched_instance_ids,missing_instance_ids,unmatched_lesion_count,has_duplicates_matching,discarded,json_path
0,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.305960261018055031847200997407,1_3_6_1_4_1_14519_5_2_1_7009_9004_305960261018055031847200997407,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.305960261018055031847200997407.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_305960261018055031847200997407.json
1,train,1.2.840.113654.2.55.265575014958861080295453809651970328203,1_2_840_113654_2_55_265575014958861080295453809651970328203,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.265575014958861080295453809651970328203.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_265575014958861080295453809651970328203.json
2,train,1.2.840.113654.2.55.286517722609350799206918743107678853945,1_2_840_113654_2_55_286517722609350799206918743107678853945,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.286517722609350799206918743107678853945.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_286517722609350799206918743107678853945.json
3,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.134071451092971947714891586560,1_3_6_1_4_1_14519_5_2_1_7009_9004_134071451092971947714891586560,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.134071451092971947714891586560.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_134071451092971947714891586560.json
4,train,1.2.840.113654.2.55.56746211163529835673571630410188605693,1_2_840_113654_2_55_56746211163529835673571630410188605693,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.56746211163529835673571630410188605693.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_56746211163529835673571630410188605693.json
5,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.311426070231723101273764648423,1_3_6_1_4_1_14519_5_2_1_7009_9004_311426070231723101273764648423,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.311426070231723101273764648423.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_311426070231723101273764648423.json
6,train,1.2.840.113654.2.55.76667257327071516306942549708520156656,1_2_840_113654_2_55_76667257327071516306942549708520156656,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.76667257327071516306942549708520156656.nii.gz,3,0,3,3,0,0,0,0,3,0,1 2 3,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_76667257327071516306942549708520156656.json
7,train,1.2.840.113654.2.55.48263665301149989739282244931920668062,1_2_840_113654_2_55_48263665301149989739282244931920668062,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.48263665301149989739282244931920668062.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_48263665301149989739282244931920668062.json
8,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.208907514608608036226744503970,1_3_6_1_4_1_14519_5_2_1_7009_9004_208907514608608036226744503970,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.208907514608608036226744503970.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_208907514608608036226744503970.json
9,train,1.2.840.113654.2.55.168163211895356354124817868844825054843,1_2_840_113654_2_55_168163211895356354124817868844825054843,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.168163211895356354124817868844825054843.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_168163211895356354124817868844825054843.json
10,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.217867654122111304672363163086,1_3_6_1_4_1_14519_5_2_1_7009_9004_217867654122111304672363163086,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.217867654122111304672363163086.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_217867654122111304672363163086.json
11,train,1.2.840.113654.2.55.44841666083601270084225329308651637642,1_2_840_113654_2_55_44841666083601270084225329308651637642,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.44841666083601270084225329308651637642.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_44841666083601270084225329308651637642.json
12,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.642672460255366659758085151953,1_3_6_1_4_1_14519_5_2_1_7009_9004_642672460255366659758085151953,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.642672460255366659758085151953.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_642672460255366659758085151953.json
13,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.245246041891915468897121529287,1_3_6_1_4_1_14519_5_2_1_7009_9004_245246041891915468897121529287,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.245246041891915468897121529287.nii.gz,4,0,4,4,0,0,0,0,4,0,1 2 3 4,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_245246041891915468897121529287.json
14,train,1.2.840.113654.2.55.144779844623239875616943734786071655068,1_2_840_113654_2_55_144779844623239875616943734786071655068,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.144779844623239875616943734786071655068.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_144779844623239875616943734786071655068.json
15,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.254962379630024360687052813258,1_3_6_1_4_1_14519_5_2_1_7009_9004_254962379630024360687052813258,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.254962379630024360687052813258.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_254962379630024360687052813258.json
16,train,1.2.840.113654.2.55.193575350845119838116198549285536784804,1_2_840_113654_2_55_193575350845119838116198549285536784804,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.193575350845119838116198549285536784804.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_193575350845119838116198549285536784804.json
17,train,1.2.840.113654.2.55.60904610333419034886239910138042808768,1_2_840_113654_2_55_60904610333419034886239910138042808768,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.60904610333419034886239910138042808768.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_60904610333419034886239910138042808768.json
18,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.656708180918993439208395110983,1_3_6_1_4_1_14519_5_2_1_7009_9004_656708180918993439208395110983,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.656708180918993439208395110983.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_656708180918993439208395110983.json
19,train,1.2.840.113654.2.55.221939902922522129391978378802898392195,1_2_840_113654_2_55_221939902922522129391978378802898392195,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.221939902922522129391978378802898392195.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_221939902922522129391978378802898392195.json
20,train,1.2.840.113654.2.55.240231128564881525363489796879328810792,1_2_840_113654_2_55_240231128564881525363489796879328810792,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.240231128564881525363489796879328810792.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_240231128564881525363489796879328810792.json
21,train,1.2.840.113654.2.55.153747449613577231783870150747388105960,1_2_840_113654_2_55_153747449613577231783870150747388105960,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.153747449613577231783870150747388105960.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_153747449613577231783870150747388105960.json
22,train,1.2.840.113654.2.55.20632429294255322627666463670258140506,1_2_840_113654_2_55_20632429294255322627666463670258140506,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.20632429294255322627666463670258140506.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_20632429294255322627666463670258140506.json
23,train,1.2.840.113654.2.55.44104319019263819347753067735702786657,1_2_840_113654_2_55_44104319019263819347753067735702786657,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.44104319019263819347753067735702786657.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_44104319019263819347753067735702786657.json
24,train,1.2.840.113654.2.55.120509026845732650478609186252411815442,1_2_840_113654_2_55_120509026845732650478609186252411815442,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.120509026845732650478609186252411815442.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_120509026845732650478609186252411815442.json
25,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.287439098322012846874885575760,1_3_6_1_4_1_14519_5_2_1_7009_9004_287439098322012846874885575760,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.287439098322012846874885575760.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_287439098322012846874885575760.json
26,train,1.2.840.113654.2.55.240605133330517156336895690355570196071,1_2_840_113654_2_55_240605133330517156336895690355570196071,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.240605133330517156336895690355570196071.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_240605133330517156336895690355570196071.json
27,train,1.3.6.1.4.1.14519.5.2.1.7009.9004.145879372350685963342410660113,1_3_6_1_4_1_14519_5_2_1_7009_9004_145879372350685963342410660113,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.3.6.1.4.1.14519.5.2.1.7009.9004.145879372350685963342410660113.nii.gz,1,0,1,1,0,0,0,0,1,0,1,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_3_6_1_4_1_14519_5_2_1_7009_9004_145879372350685963342410660113.json
28,train,1.2.840.113654.2.55.226676427209804226006903834102704127653,1_2_840_113654_2_55_226676427209804226006903834102704127653,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.226676427209804226006903834102704127653.nii.gz,5,0,5,5,0,0,0,0,5,0,1 2 3 4 5,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_226676427209804226006903834102704127653.json
29,train,1.2.840.113654.2.55.182301065543257884025799927965445298821,1_2_840_113654_2_55_182301065543257884025799927965445298821,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.182301065543257884025799927965445298821.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_182301065543257884025799927965445298821.json
30,train,1.2.840.113654.2.55.138912617889370319628771318657755494354,1_2_840_113654_2_55_138912617889370319628771318657755494354,success,,/opt/data/slow/LUNA25/MedSAMv2_masks/1.2.840.113654.2.55.138912617889370319628771318657755494354.nii.gz,2,0,2,2,0,0,0,0,2,0,1 2,,0,False,False,/opt/data/slow/nn-datasets/Task023_LUNA25/raw_splitted/labelsTr/1_2_840_113654_2_55_138912617889370319628771318657755494354.json
