case_id,mask_path,status,csv_rows_count,unique_mask_ids_count,mapped_ids_count,missing_ids_count,out_of_bounds_count,background_hit_count,native_hit_count,flipped_xy_hit_count,local_search_hit_count,matched_instance_ids,missing_instance_ids,json_path,error_message
1_2_840_113654_2_55_100027385603639997812329606977270090953,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_100027385603639997812329606977270090953.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_100027385603639997812329606977270090953.json,
1_2_840_113654_2_55_100611742735489496565047882309637972403,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_100611742735489496565047882309637972403.nii.gz,success,3,3,3,0,0,0,0,3,0,1 2 3,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_100611742735489496565047882309637972403.json,
1_2_840_113654_2_55_101581432986749230362000431122230027626,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_101581432986749230362000431122230027626.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_101581432986749230362000431122230027626.json,
1_2_840_113654_2_55_102362433140615926769263232659208259827,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102362433140615926769263232659208259827.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102362433140615926769263232659208259827.json,
1_2_840_113654_2_55_102543754970478932911874049859560292875,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102543754970478932911874049859560292875.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102543754970478932911874049859560292875.json,
1_2_840_113654_2_55_102564012922965505013685500990691933164,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102564012922965505013685500990691933164.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_102564012922965505013685500990691933164.json,
1_2_840_113654_2_55_104875105199235759107524840605395818261,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_104875105199235759107524840605395818261.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_104875105199235759107524840605395818261.json,
1_2_840_113654_2_55_104977211649372104017865672358351494345,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_104977211649372104017865672358351494345.nii.gz,success,3,3,3,0,0,0,0,3,0,1 2 3,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_104977211649372104017865672358351494345.json,
1_2_840_113654_2_55_10528839436019961516152766137614507061,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_10528839436019961516152766137614507061.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_10528839436019961516152766137614507061.json,
1_2_840_113654_2_55_105761524838364655606343956306489083547,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_105761524838364655606343956306489083547.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_105761524838364655606343956306489083547.json,
1_2_840_113654_2_55_1067199395170703462510700312038958118,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_1067199395170703462510700312038958118.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_1067199395170703462510700312038958118.json,
1_2_840_113654_2_55_107286458984147654450019349189159324228,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_107286458984147654450019349189159324228.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_107286458984147654450019349189159324228.json,
1_2_840_113654_2_55_10833386426630411862343500018633576155,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_10833386426630411862343500018633576155.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_10833386426630411862343500018633576155.json,
1_2_840_113654_2_55_108804919744666604748749162034411737668,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_108804919744666604748749162034411737668.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_108804919744666604748749162034411737668.json,
1_2_840_113654_2_55_110361825618705374083910625450263850018,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_110361825618705374083910625450263850018.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_110361825618705374083910625450263850018.json,
1_2_840_113654_2_55_110902905419520560212820072734366096106,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_110902905419520560212820072734366096106.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_110902905419520560212820072734366096106.json,
1_2_840_113654_2_55_111090062491969431691458418770369027686,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111090062491969431691458418770369027686.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111090062491969431691458418770369027686.json,
1_2_840_113654_2_55_111202666805944996288913181752407623150,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111202666805944996288913181752407623150.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111202666805944996288913181752407623150.json,
1_2_840_113654_2_55_111507227027021030826932837826431647968,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111507227027021030826932837826431647968.nii.gz,success,1,1,0,1,0,1,0,0,0,,1,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_111507227027021030826932837826431647968.json,
1_2_840_113654_2_55_112025600641410400427624494421088346490,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112025600641410400427624494421088346490.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112025600641410400427624494421088346490.json,
1_2_840_113654_2_55_112221282376867607247217252627393153000,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112221282376867607247217252627393153000.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112221282376867607247217252627393153000.json,
1_2_840_113654_2_55_112404666052473301646461128905065280341,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112404666052473301646461128905065280341.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112404666052473301646461128905065280341.json,
1_2_840_113654_2_55_112678153129052512356539493326784217907,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112678153129052512356539493326784217907.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_112678153129052512356539493326784217907.json,
1_2_840_113654_2_55_114180982069251242955952783519236371905,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114180982069251242955952783519236371905.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114180982069251242955952783519236371905.json,
1_2_840_113654_2_55_114314533665789986131797300339396006027,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114314533665789986131797300339396006027.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114314533665789986131797300339396006027.json,
1_2_840_113654_2_55_114658832026213374989383850367234156329,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114658832026213374989383850367234156329.nii.gz,success,3,3,3,0,0,0,0,3,0,1 2 3,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114658832026213374989383850367234156329.json,
1_2_840_113654_2_55_114976151970214460583300747070618355734,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114976151970214460583300747070618355734.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_114976151970214460583300747070618355734.json,
1_2_840_113654_2_55_115368976829876469857031840987752535264,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_115368976829876469857031840987752535264.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_115368976829876469857031840987752535264.json,
1_2_840_113654_2_55_115618494034349247962514566563860681380,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_115618494034349247962514566563860681380.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_115618494034349247962514566563860681380.json,
1_2_840_113654_2_55_116178619022139425999957920748644970996,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116178619022139425999957920748644970996.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116178619022139425999957920748644970996.json,
1_2_840_113654_2_55_116292676010343167461767447761303637372,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116292676010343167461767447761303637372.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116292676010343167461767447761303637372.json,
1_2_840_113654_2_55_116744197264123400503169823508918440096,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116744197264123400503169823508918440096.nii.gz,success,3,3,2,1,0,1,0,2,0,1 3,2,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_116744197264123400503169823508918440096.json,
1_2_840_113654_2_55_117581031570406901579348525235557025335,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_117581031570406901579348525235557025335.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_117581031570406901579348525235557025335.json,
1_2_840_113654_2_55_118670061759216694991520851382105682202,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_118670061759216694991520851382105682202.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_118670061759216694991520851382105682202.json,
1_2_840_113654_2_55_119200533966161580151772679502848335030,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_119200533966161580151772679502848335030.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_119200533966161580151772679502848335030.json,
1_2_840_113654_2_55_119278381949136177284416234961643134266,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_119278381949136177284416234961643134266.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_119278381949136177284416234961643134266.json,
1_2_840_113654_2_55_120446796252189815561785878401522604050,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_120446796252189815561785878401522604050.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_120446796252189815561785878401522604050.json,
1_2_840_113654_2_55_120490329040763857535756314629160046389,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_120490329040763857535756314629160046389.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_120490329040763857535756314629160046389.json,
1_2_840_113654_2_55_121086985393241886115550304768179312039,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_121086985393241886115550304768179312039.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_121086985393241886115550304768179312039.json,
1_2_840_113654_2_55_121136974779165028210458920376090751234,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_121136974779165028210458920376090751234.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_121136974779165028210458920376090751234.json,
1_2_840_113654_2_55_122339147529518902951825323250565704412,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_122339147529518902951825323250565704412.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_122339147529518902951825323250565704412.json,
1_2_840_113654_2_55_122786454955442858732624097977450778691,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_122786454955442858732624097977450778691.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_122786454955442858732624097977450778691.json,
1_2_840_113654_2_55_12321065202412310448013129899185865311,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_12321065202412310448013129899185865311.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_12321065202412310448013129899185865311.json,
1_2_840_113654_2_55_123633234107849591190515522342469572867,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123633234107849591190515522342469572867.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123633234107849591190515522342469572867.json,
1_2_840_113654_2_55_123800934642743115448994694971021310180,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123800934642743115448994694971021310180.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123800934642743115448994694971021310180.json,
